track_id,gt_family,cluster_id,side,center_lat,center_lon,n_beams,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ClusterTemporalSpanYears,ValidRegression,U_position_m,U_NSM_m,U_EPR_myr,first_date,last_date,initial_cycles,used_cycles
1006,gt1,L,L,70.79174808685023,-158.8751757527424,11,-4.0,17.0,-0.52,-0.09,0.0,5.58,1.83,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,11,11
1006,gt1,R,R,70.79181977116949,-158.87675646013713,9,48.0,54.0,7.21,3.73,0.23,16.03,6.16,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,9,9
1006,gt2,L,L,70.7984011113072,-158.96153061246,11,-235.0,235.0,-34.99,-14.26,0.17,66.82,23.7,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,11,11
1006,gt2,R,R,70.79849313173041,-158.9636569954147,10,-216.0,216.0,-32.12,-17.35,0.3,57.84,21.42,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,10,10
1006,gt3,L,L,70.81322393364634,-159.04448778580274,9,-6.0,9.0,-1.09,-0.48,0.06,3.93,1.74,2089.0,5.72,True,4.8,6.79,1.19,2020-03-01 00:00:00,2025-11-19 00:00:00,9,9
1006,gt3,R,R,70.8133137769979,-159.0465080536515,9,-471.0,471.0,-70.22,-38.38,0.3,136.26,52.41,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,9,9
1021,gt2,L,L,70.91654126960951,-153.20519472870134,8,-185.0,185.0,-37.22,-28.03,0.76,30.36,15.76,1816.0,4.97,True,4.8,6.79,1.37,2019-03-05 00:00:00,2024-02-23 00:00:00,8,8
1021,gt2,R,R,70.91661129845517,-153.2069312606127,7,-199.0,199.0,-40.11,-27.44,0.68,36.53,21.4,1816.0,4.97,True,4.8,6.79,1.37,2019-03-05 00:00:00,2024-02-23 00:00:00,7,7
1028,gt1,L,L,70.18556674117951,-147.39405825909637,10,731.0,746.0,108.82,67.21,0.28,245.56,88.66,2452.0,6.71,True,4.8,6.79,1.01,2019-03-05 00:00:00,2025-11-20 00:00:00,10,10
1028,gt1,R,R,70.18564724315542,-147.3921183788649,9,294.0,382.0,43.81,46.25,0.37,144.64,54.29,2452.0,6.71,True,4.8,6.79,1.01,2019-03-05 00:00:00,2025-11-20 00:00:00,9,9
1044,gt1,L,L,68.89361129316347,-164.8423227581573,9,-60.0,82.0,-10.43,-7.39,0.33,20.81,9.37,2089.0,5.72,True,4.8,6.79,1.19,2019-06-05 00:00:00,2025-02-22 00:00:00,9,9
