track_id,gt_family,cluster_id,side,center_lat,center_lon,n_beams,NSM,SCE,EPR,LRR,LR2,LSE,LCI,TemporalSpan_days,ClusterTemporalSpanYears,ValidRegression,U_position_m,U_NSM_m,U_EPR_myr,first_date,last_date,initial_cycles,used_cycles
1006,gt1,L,L,70.79174007884545,-158.87559968821756,13,-47.0,81.0,-6.98,-2.34,0.08,17.68,5.3,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,13,13
1006,gt1,R,R,70.79181512045103,-158.87734306911875,12,-41.0,62.0,-6.18,-1.18,0.02,18.46,5.91,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,12,12
1006,gt2,L,L,70.79833880170814,-158.96167224764193,12,79.0,113.0,11.78,5.93,0.14,32.03,10.39,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,12,12
1006,gt2,R,R,70.79843791533973,-158.96411086012617,13,65.0,76.0,9.68,3.98,0.17,19.6,5.88,2452.0,6.71,True,4.8,6.79,1.01,2019-03-04 00:00:00,2025-11-19 00:00:00,13,13
1006,gt3,L,L,70.81317068478766,-159.0447197491773,10,1.0,23.0,0.2,-1.37,0.12,7.21,3.05,2089.0,5.72,True,4.8,6.79,1.19,2020-03-01 00:00:00,2025-11-19 00:00:00,10,10
1006,gt3,R,R,70.81325374942097,-159.04702190239,11,-26.0,145.0,-4.47,-10.25,0.18,39.5,16.39,2089.0,5.72,True,4.8,6.79,1.19,2020-03-01 00:00:00,2025-11-19 00:00:00,11,11
1021,gt2,L,L,70.91654588134885,-153.2057523797542,10,-200.0,200.0,-40.18,-18.81,0.25,58.29,26.57,1816.0,4.97,True,4.8,6.79,1.37,2019-03-05 00:00:00,2024-02-23 00:00:00,10,10
1021,gt2,R,R,70.91651400994628,-153.20757021296043,8,-208.0,208.0,-41.9,-28.58,0.67,36.34,20.12,1816.0,4.97,True,4.8,6.79,1.37,2019-03-05 00:00:00,2024-02-23 00:00:00,8,8
1028,gt1,L,L,70.18559778609466,-147.39413397405065,10,97.0,99.0,14.44,11.43,0.5,25.76,9.3,2452.0,6.71,True,4.8,6.79,1.01,2019-03-05 00:00:00,2025-11-20 00:00:00,10,10
1028,gt1,R,R,70.1856201046911,-147.39203348043387,9,-304.0,340.0,-45.34,-18.65,0.15,104.18,39.1,2452.0,6.71,True,4.8,6.79,1.01,2019-03-05 00:00:00,2025-11-20 00:00:00,9,9
1044,gt1,L,L,68.8935604153174,-164.8422462502212,11,-62.0,84.0,-10.81,-6.79,0.21,24.08,9.83,2089.0,5.72,True,4.8,6.79,1.19,2019-06-05 00:00:00,2025-02-22 00:00:00,11,11
1044,gt1,R,R,68.89377135294204,-164.84014441302395,11,54.0,77.0,9.39,2.02,0.03,22.96,9.28,2089.0,5.72,True,4.8,6.79,1.19,2019-06-05 00:00:00,2025-02-22 00:00:00,11,11
1044,gt2,L,L,68.89800777455613,-164.76254529956103,10,0.0,19.0,0.09,-0.12,0.0,6.2,2.82,1998.0,5.47,True,4.8,6.79,1.24,2019-09-04 00:00:00,2025-02-22 00:00:00,10,10
1044,gt2,R,R,68.89805239837447,-164.7603056926052,13,108.0,108.0,18.82,5.1,0.08,29.66,11.23,2089.0,5.72,True,4.8,6.79,1.19,2019-06-05 00:00:00,2025-02-22 00:00:00,13,13
1044,gt3,L,L,68.906275680146,-164.68405635624745,11,10.0,56.0,1.9,1.15,0.02,15.18,6.68,1998.0,5.47,True,4.8,6.79,1.24,2019-09-04 00:00:00,2025-02-22 00:00:00,11,11
1044,gt3,R,R,68.90631802996478,-164.68187586464492,12,8.0,90.0,1.37,1.65,0.01,26.24,10.86,1998.0,5.47,True,4.8,6.79,1.24,2019-09-04 00:00:00,2025-02-22 00:00:00,12,12
1051,gt3,L,L,69.86704100958366,-142.27303065885343,10,6.0,37.0,1.29,-0.9,0.02,11.54,5.71,1725.0,4.72,True,4.8,6.79,1.44,2020-06-03 00:00:00,2025-02-22 00:00:00,10,10
1051,gt3,R,R,69.86708775370077,-142.27535699383563,8,-24.0,62.0,-5.02,-6.34,0.37,15.68,8.33,1726.0,4.73,True,4.8,6.79,1.44,2020-03-04 00:00:00,2024-11-24 00:00:00,8,8
1074,gt1,L,L,70.78080163197546,-154.1101515325113,10,-45.0,192.0,-7.22,-10.28,0.14,54.2,21.01,2270.0,6.21,True,4.8,6.79,1.09,2019-09-06 00:00:00,2025-11-23 00:00:00,10,10
1074,gt1,R,R,70.78088469722087,-154.1076522644344,9,-42.0,160.0,-6.83,-6.54,0.08,52.55,19.25,2270.0,6.21,True,4.8,6.79,1.09,2019-09-06 00:00:00,2025-11-23 00:00:00,9,9
1074,gt2,L,L,70.80919684127714,-154.03217588558806,9,-64.0,269.0,-10.33,-13.43,0.13,75.56,30.53,2270.0,6.21,True,4.8,6.79,1.09,2019-09-06 00:00:00,2025-11-23 00:00:00,9,9
1074,gt2,R,R,70.80940911143544,-154.02966103829482,8,-58.0,234.0,-9.32,-16.35,0.23,70.6,29.53,2270.0,6.21,True,4.8,6.79,1.09,2019-09-06 00:00:00,2025-11-23 00:00:00,8,8
1082,gt1,L,L,70.87816224815096,-153.91440377413795,13,-87.0,114.0,-13.39,-14.28,0.79,16.58,4.83,2361.0,6.46,True,4.8,6.79,1.05,2019-06-08 00:00:00,2025-11-24 00:00:00,13,13
1082,gt1,R,R,70.87823050951741,-153.91670462739629,13,-114.0,160.0,-17.6,-13.26,0.57,27.26,7.7,2361.0,6.46,True,4.8,6.79,1.05,2019-06-08 00:00:00,2025-11-24 00:00:00,13,13
1082,gt2,L,L,70.8072811384396,-154.0313299631082,14,-19.0,351.0,-2.87,-7.53,0.02,128.42,34.41,2361.0,6.46,True,4.8,6.79,1.05,2019-06-08 00:00:00,2025-11-24 00:00:00,14,14
1082,gt2,R,R,70.80745372029058,-154.03373537646956,15,-51.0,76.0,-7.88,-4.56,0.28,17.16,4.35,2361.0,6.46,True,4.8,6.79,1.05,2019-06-08 00:00:00,2025-11-24 00:00:00,15,15
1082,gt3,L,L,70.77365597528413,-154.13326993776283,15,-33.0,117.0,-5.16,-1.95,0.03,27.75,6.99,2361.0,6.46,True,4.8,6.79,1.05,2019-06-08 00:00:00,2025-11-24 00:00:00,15,15
1082,gt3,R,R,70.77373736430626,-154.13568277639823,16,-60.0,69.0,-9.27,-1.9,0.05,19.11,4.55,2361.0,6.46,True,4.8,6.79,1.05,2019-06-08 00:00:00,2025-11-24 00:00:00,16,16
1089,gt1,L,L,70.33845445799594,-148.2307286931816,11,27.0,103.0,4.61,-3.71,0.1,26.03,8.33,2180.0,5.97,True,4.8,6.79,1.14,2019-06-08 00:00:00,2025-05-27 00:00:00,11,11
1089,gt1,R,R,70.33851585481331,-148.2282004220228,11,84.0,105.0,14.07,-1.05,0.01,35.67,10.79,2180.0,5.97,True,4.8,6.79,1.14,2019-06-08 00:00:00,2025-05-27 00:00:00,11,11
1104,gt1,L,L,69.89191294506418,-142.34909809020732,12,-21.0,180.0,-3.84,-9.94,0.09,61.38,21.88,1998.0,5.47,True,4.8,6.79,1.24,2019-09-08 00:00:00,2025-02-26 00:00:00,12,12
1104,gt1,R,R,69.8920823157672,-142.34672271788517,13,-100.0,167.0,-18.24,-17.53,0.34,46.02,16.19,1998.0,5.47,True,4.8,6.79,1.24,2019-09-08 00:00:00,2025-02-26 00:00:00,13,13
1112,gt2,L,L,70.05595381220795,-142.89883122570805,12,291.0,291.0,45.09,11.63,0.06,102.46,31.63,2361.0,6.46,True,4.8,6.79,1.05,2019-06-10 00:00:00,2025-11-26 00:00:00,12,12
1112,gt2,R,R,70.05609747004112,-142.90189654355177,12,29.0,243.0,4.9,3.81,0.01,84.94,29.68,2180.0,5.97,True,4.8,6.79,1.14,2019-12-08 00:00:00,2025-11-26 00:00:00,12,12
1112,gt3,L,L,70.05794557175348,-142.9838773236818,12,-15.0,398.0,-2.55,-2.92,0.0,107.86,37.82,2180.0,5.97,True,4.8,6.79,1.14,2019-12-08 00:00:00,2025-11-26 00:00:00,12,12
1112,gt3,R,R,70.05807992517548,-142.98703712556124,11,-7.0,273.0,-1.15,4.38,0.01,89.82,32.6,2180.0,5.97,True,4.8,6.79,1.14,2019-12-08 00:00:00,2025-11-26 00:00:00,11,11
1150,gt1,L,L,70.4625645309272,-149.05675047822382,12,-21.0,396.0,-3.44,6.68,0.02,103.42,32.41,2270.0,6.21,True,4.8,6.79,1.09,2019-09-11 00:00:00,2025-11-28 00:00:00,12,12
1150,gt1,R,R,70.46260917605537,-149.0545619920419,7,-136.0,179.0,-24.9,-15.19,0.22,67.76,33.22,1998.0,5.47,True,4.8,6.79,1.24,2019-09-11 00:00:00,2025-03-01 00:00:00,7,7
1158,gt1,L,L,70.47488112148733,-149.13876757869463,12,16.0,323.0,2.53,-5.62,0.02,77.42,27.2,2361.0,6.46,True,4.8,6.79,1.05,2019-06-13 00:00:00,2025-11-29 00:00:00,12,12
1158,gt1,R,R,70.47510014024782,-149.140956257396,12,14.0,212.0,2.14,-0.26,0.0,50.28,17.67,2361.0,6.46,True,4.8,6.79,1.05,2019-06-13 00:00:00,2025-11-29 00:00:00,12,12
1158,gt2,L,L,70.48690137364522,-149.22159848624963,12,155.0,168.0,23.03,7.92,0.11,48.73,15.96,2452.0,6.71,True,4.8,6.79,1.01,2019-03-14 00:00:00,2025-11-29 00:00:00,12,12
1158,gt2,R,R,70.48707363658669,-149.2240101294466,12,116.0,297.0,17.21,5.09,0.02,72.18,23.64,2452.0,6.71,True,4.8,6.79,1.01,2019-03-14 00:00:00,2025-11-29 00:00:00,12,12
1158,gt3,L,L,70.49145530848209,-149.3076164563334,10,-41.0,58.0,-6.66,-5.55,0.27,18.59,7.53,2270.0,6.21,True,4.8,6.79,1.09,2019-06-13 00:00:00,2025-08-30 00:00:00,10,10
1158,gt3,R,R,70.49151412081031,-149.3099655795809,11,29.0,168.0,4.72,-1.68,0.01,44.98,16.43,2270.0,6.21,True,4.8,6.79,1.09,2019-06-13 00:00:00,2025-08-30 00:00:00,11,11
1165,gt2,L,L,70.07854430840284,-143.1142151305604,12,-15.0,60.0,-2.3,1.47,0.04,17.87,5.31,2361.0,6.46,True,4.8,6.79,1.05,2019-06-13 00:00:00,2025-11-29 00:00:00,12,12
1165,gt2,R,R,70.07851409885693,-143.11187900587743,13,-94.0,189.0,-14.53,2.63,0.02,49.43,13.25,2361.0,6.46,True,4.8,6.79,1.05,2019-06-13 00:00:00,2025-11-29 00:00:00,13,13
1173,gt2,L,L,70.13353165677897,-143.6479297026263,11,2.0,154.0,0.29,-4.85,0.03,54.62,19.46,2089.0,5.72,True,4.8,6.79,1.19,2019-12-12 00:00:00,2025-08-31 00:00:00,11,11
1173,gt2,R,R,70.13359011255169,-143.65029341972644,12,2.0,76.0,0.28,-2.54,0.04,24.73,8.78,2089.0,5.72,True,4.8,6.79,1.19,2019-12-12 00:00:00,2025-08-31 00:00:00,12,12
1173,gt3,L,L,70.09157554385092,-143.74924868411463,11,-275.0,353.0,-48.03,-20.79,0.12,116.99,43.14,2089.0,5.72,True,4.8,6.79,1.19,2019-12-12 00:00:00,2025-08-31 00:00:00,11,11
1173,gt3,R,R,70.09160129316223,-143.75166834578627,11,-34.0,154.0,-6.0,1.0,0.0,40.36,14.88,2089.0,5.72,True,4.8,6.79,1.19,2019-12-12 00:00:00,2025-08-31 00:00:00,11,11
1181,gt1,L,L,70.27652852914377,-161.1844589411861,8,7.0,140.0,1.35,14.39,0.26,44.13,23.97,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,8,8
1181,gt1,R,R,70.27665813433171,-161.18223405454668,6,17.0,91.0,3.39,9.07,0.25,32.64,21.96,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,6,6
1181,gt2,L,L,70.29166615928422,-161.1034814748685,8,-108.0,206.0,-21.67,-14.18,0.12,74.38,38.82,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,8,8
1181,gt2,R,R,70.29173824278281,-161.10121372849392,7,-143.0,174.0,-28.83,-9.62,0.06,73.2,44.67,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,7,7
1181,gt3,L,L,70.32296773759401,-161.02866648399194,7,-143.0,270.0,-28.73,-6.18,0.01,112.83,68.86,1816.0,4.97,True,4.8,6.79,1.37,2019-12-13 00:00:00,2024-12-02 00:00:00,7,7
