track_id,bias_tolerance,gt_family,cluster_id,cluster_width_m,n_beams,reference_beam_id,reference_date,coast_slope_sign,center_lat,center_lon,elev_avg,first_date,last_date,TemporalSpan_days,ClusterTemporalSpanYears,initial_cycles,used_cycles,used_cycles_cluster,angle_mean_deg,angle_median_deg,angle_mode_deg,angle_used_mean_deg,angle_used_median_deg,max_abs_gie,mean_abs_gie,U_position_m,U_NSM_measured_m,U_EPR_measured_myr,U_NSM_corrected_m,U_EPR_corrected_myr,NSM_measured,SCE_measured,EPR_measured,LRR_measured,LR2_measured,LSE_measured,LCI_measured,ValidRegression_measured,NSM_corrected,SCE_corrected,EPR_corrected,LRR_corrected,LR2_corrected,LSE_corrected,LCI_corrected,ValidRegression_corrected,track_id_str,n_cycles_removed,flagged_dates,NSM_flagged,EPR_flagged,LRR_flagged,LR2_flagged,LSE_flagged,LCI_flagged,flag_status
38,0.6,gt2,1,9.19,4,sliderule_0038_gt2l_cyc14_20211224,2021-12-24 00:00:00,1,69.05107052226444,-163.77611733240064,14.359354762973307,2021-12-24 00:00:00,2025-03-19 00:00:00,1181.0,3.23,14,13,4,61.88,61.87,62.5,61.883,61.87,4.484,1.405,4.8,6.79,2.1,6.79,2.1,-18.0,18.0,-5.64,-5.32,0.97,1.99,2.86,True,-14.0,19.0,-4.26,-4.43,0.86,3.83,5.5,True,0038,0,,-14.0,-4.33,-4.35,0.87,3.53,5.07,no_outlier_detected
38,0.6,gt2,2,20.05,8,sliderule_0038_gt2r_cyc07_20200329,2020-03-29 00:00:00,1,69.05117973422202,-163.77370286860997,17.70563175473865,2020-03-29 00:00:00,2025-09-17 00:00:00,1998.0,5.47,14,13,8,56.76,56.74,57.5,56.755,56.74,8.238,4.02,4.8,6.79,1.24,6.79,1.24,-24.0,24.0,-4.39,-3.99,0.84,3.88,1.73,True,-27.0,27.0,-4.89,-3.92,0.67,6.14,2.73,True,0038,0,,-26.0,-4.75,-3.8,0.66,6.14,2.73,no_outlier_detected
38,0.6,gt2,4,16.97,7,sliderule_0038_gt2r_cyc07_20200329,2020-03-29 00:00:00,1,69.05116909351496,-163.77374263581393,17.677181697810965,2020-03-29 00:00:00,2025-09-17 00:00:00,1998.0,5.47,14,13,7,56.76,56.76,57.5,56.763,56.76,8.238,3.863,4.8,6.79,1.24,6.79,1.24,-24.0,24.0,-4.39,-4.08,0.85,4.1,1.96,True,-27.0,27.0,-4.89,-3.72,0.67,6.27,2.99,True,0038,3,2022-03-25;2025-03-19;2025-09-17,-16.0,-3.39,-3.66,0.96,1.91,2.32,flagged
45,0.4,gt1,1,97.4,10,sliderule_0045_gt1l_cyc06_20191229,2019-12-29 00:00:00,-1,69.67608996184157,-141.13526410761085,1.5532024722806523,2019-12-29 00:00:00,2024-12-19 00:00:00,1817.0,4.97,18,18,10,70.79,70.8,72.5,70.789,70.795,33.897,8.203,4.8,6.79,1.36,6.79,1.36,-72.0,92.0,-14.4,-14.95,0.73,16.94,7.38,True,-89.0,95.0,-17.83,-15.3,0.71,18.44,8.04,True,0045,0,,-88.0,-17.69,-15.28,0.71,18.33,7.99,no_outlier_detected
45,0.4,gt1,2,115.44,10,sliderule_0045_gt1r_cyc06_20191229,2019-12-29 00:00:00,-1,69.6761281497156,-141.1360747549499,1.7148294977111138,2019-12-29 00:00:00,2024-12-19 00:00:00,1817.0,4.97,18,18,10,72.16,70.81,72.5,72.164,70.815,22.291,6.08,4.8,6.79,1.36,6.79,1.36,-54.0,375.0,-10.84,7.98,0.02,114.53,49.92,True,-64.0,376.0,-12.86,6.5,0.01,113.47,49.46,True,0045,1,2024-03-21,-64.0,-12.87,-14.41,0.89,9.63,4.55,flagged
53,0.4,gt1,1,175.8,5,sliderule_0053_gt1l_cyc03_20190401,2019-04-01 00:00:00,-1,70.78853983726852,-158.78760075431043,2.802072391265265,2019-04-01 00:00:00,2025-03-20 00:00:00,2180.0,5.97,18,17,5,79.95,79.92,77.5,79.95,79.92,29.422,15.734,4.8,6.79,1.14,6.79,1.14,-5.0,31.0,-0.76,-0.67,0.01,15.02,10.9,True,-2.0,7.0,-0.4,-0.62,0.24,2.77,2.01,True,0053,2,2025-03-20;2021-12-25,-7.0,-1.66,-1.66,1.0,0.05,0.2,flagged
53,0.4,gt1,3,21.6,5,sliderule_0053_gt1l_cyc06_20191230,2019-12-30 00:00:00,-1,70.78874999731481,-158.78280776196502,2.1698828247578743,2019-12-30 00:00:00,2025-06-19 00:00:00,1998.0,5.47,18,17,5,85.97,85.97,87.5,85.966,85.97,1.524,0.765,4.8,6.79,1.24,6.79,1.24,-7.0,27.0,-1.2,-2.86,0.41,8.92,6.36,True,-8.0,28.0,-1.47,-3.07,0.44,8.91,6.36,True,0053,1,2020-03-30,-8.0,-1.46,-1.43,0.66,2.9,3.11,flagged
53,0.4,gt1,6,32.15,6,sliderule_0053_gt1l_cyc06_20191230,2019-12-30 00:00:00,-1,70.78874071823793,-158.78294466300227,2.21360655564741,2019-12-30 00:00:00,2025-06-19 00:00:00,1998.0,5.47,18,17,6,85.96,85.95,87.5,85.957,85.945,2.295,1.02,4.8,6.79,1.24,6.79,1.24,-7.0,27.0,-1.2,-2.61,0.34,8.21,5.01,True,-8.0,28.0,-1.47,-2.88,0.4,8.03,4.9,True,0053,2,2020-03-30;2025-06-19,4.0,1.34,1.06,0.45,1.96,3.55,flagged
53,0.4,gt1,7,132.4,6,sliderule_0053_gt1l_cyc03_20190401,2019-04-01 00:00:00,-1,70.7886081353798,-158.78581011578697,2.763511592899638,2019-04-01 00:00:00,2025-03-20 00:00:00,2180.0,5.97,18,17,6,80.95,79.97,77.5,80.948,79.97,13.527,5.86,4.8,6.79,1.14,6.79,1.14,-5.0,22.0,-0.76,-0.97,0.04,10.22,6.28,True,-2.0,17.0,-0.4,-1.02,0.11,6.68,4.11,True,0053,2,2023-06-23;2021-03-28,-2.0,-0.34,-0.32,0.38,1.22,1.24,flagged
53,0.5,gt2,8,45.37,3,sliderule_0053_gt2l_cyc14_20211225,2021-12-25 00:00:00,-1,70.78568009004759,-158.69920838562408,8.962255241402948,2021-12-25 00:00:00,2023-06-23 00:00:00,545.0,1.49,16,16,3,77.48,77.6,77.5,77.477,77.6,10.241,4.935,4.8,6.79,4.55,6.79,4.55,-13.0,13.0,-8.75,-7.89,0.93,2.51,28.16,True,-3.0,3.0,-1.88,-1.77,0.97,0.33,3.75,True,0053,0,,-3.0,-1.88,-1.77,0.97,0.33,3.75,insufficient_data_for_flagging
