track_id,gt1l,gt1r,gt2l,gt2r,gt3l,gt3r
0015,,,56.6,64.2,,
0022,1911.3,1847.2,,,1988.6,2034.6
0030,,,53.1,49.9,,
0038,11.9,,36.7,39.9,75.0,75.9
0045,51.4,52.8,,,,
0053,279.8,277.6,287.3,282.6,275.1,275.8
0061,3069.8,3073.7,2952.2,2963.3,2937.5,2945.4
0068,,,,,,
0083,43.0,138.7,294.6,285.4,234.3,363.3
0091,2938.1,28.7,3052.2,30.5,,
0098,,,255.9,248.5,324.3,310.8
0099,36.2,39.7,,,64.5,66.9
0129,1632.6,1654.3,1603.6,1622.5,1607.0,1622.9
0137,,,16.0,23.3,2998.1,3015.4
0152,,,18.5,16.8,27397.3,27430.5
0167,22.3,,3550.9,3544.8,3359.1,3365.9
0190,,,6290.0,6447.9,,
0198,,,,,,53.3
0205,377.4,377.6,379.2,301.2,1713.8,1721.3
0213,,,15132.3,15128.8,15670.2,15677.6
0220,1592.4,1630.5,,,,
0228,,,12.4,12.9,3472.8,3466.2
0236,1719.2,1716.1,1758.7,1802.4,2035.3,2021.6
0244,4823.1,4252.3,4590.3,33.8,3870.5,3448.0
0251,,,,,,
0266,1781.5,1814.3,209.8,161.3,3215.9,3029.9
0274,58.5,40.3,,,41.5,37.1
0281,,,1621.6,1637.4,5167.4,5449.1
0289,,,9664.9,9867.5,3494.3,76.7
0297,1551.9,1560.8,16.4,17.1,1585.8,1580.0
0305,,,424.5,27.5,1258.3,991.0
0312,249.7,294.5,1623.6,1646.2,5033.2,5036.9
0320,23528.9,3151.6,,,22161.8,85.6
0327,,,,,1609.3,1552.5
0342,1457.6,309.2,288.2,342.0,1385.4,1393.2
0350,35.8,27.1,,,31.9,28.9
0358,,,,,98.6,112.6
0366,,,,,,
0373,2778.0,2768.8,2694.3,2741.4,2506.3,2523.3
0381,10118.6,50.4,,,,
0403,,,4739.6,4776.7,1644.5,1645.0
0411,3226.4,17406.0,58.8,17283.6,298.7,183.3
0419,,,18.0,26.6,,
0427,4825.5,4738.9,3545.7,3556.4,4052.5,
0434,289.3,157.4,305.1,302.6,251.0,239.8
0442,48.3,31.1,26.0,17.1,79.7,40.2
0449,,,,,182.7,202.5
0457,2922.6,2939.3,,,,
0464,6407.6,193.2,6463.9,1646.3,6241.0,7198.7
0472,1625.4,1719.9,2613.7,,,
0480,2016.3,53.7,1999.7,2022.7,70.5,34.3
0487,,,,,29.8,34.7
0488,3209.0,3203.3,3054.3,3082.1,,
0495,307.4,281.5,1761.6,284.8,2072.4,1997.2
0503,,5.8,,,61.3,52.8
0510,,,,,,7.9
0518,2909.9,2912.0,,,,
0525,,,1392.8,1388.2,,1693.5
0533,19.4,,,,57.0,49.5
0541,1443.3,1479.4,1444.7,1463.5,,
0556,,,,,49.9,432.5
0564,450.2,536.2,,,,
0571,,59.7,,,,
0579,54.5,53.4,,,38.2,39.6
0586,,,367.4,366.5,1794.3,1799.0
0594,,,,,,
0609,,,,,,
0610,62.4,59.7,,,,
0632,,,,,2357.1,846.8
0640,407.9,434.0,,,,
0647,1162.3,4591.1,3110.9,2834.2,3263.2,3141.8
0655,33.2,33.3,18.6,33.7,,
0662,2167.8,2202.8,2273.1,,,
0670,3051.3,497.5,3054.3,3101.5,,
0678,374.5,576.2,,,,
0686,42.3,25.0,13.7,10.9,3258.2,42.9
0708,867.4,963.8,447.6,407.6,789.8,801.8
0716,3088.8,3128.3,3731.3,40.9,,
0723,302.9,248.8,261.5,257.8,,
0731,,,3261.6,3293.3,,
0739,,1545.6,1538.6,1552.0,1640.0,1626.0
0747,3334.6,3408.9,,,,
0754,1786.6,1785.5,,,490.3,17.6
0762,25.4,8.5,2884.7,2888.4,,
0769,408.4,414.6,415.2,412.0,427.8,418.7
0777,3100.2,3170.3,,,,
0784,,,,,,
0792,3444.0,3411.6,2945.3,2957.6,,
0800,,,,,,
0808,,,62.1,62.8,117.0,90.9
0815,2018.2,,2519.8,2492.4,,
